"Sie wünschen telefonischen Kontakt? Wir rufen Sie an!","You wish contact by telephone? We'll call you!"
"Telefonnummer","Phone"
"Ihre Nachricht an uns","Your message to us"
"Immer auf dem neusten Stand","Always up to date"
"Alle News","All news"
"abschicken","submit"
"Alle Videos","All videos"
"User Manual %s %s","Instruction Manual %s %s"
"data_list %s %s","Data Sheet %s %s"
"data_list","Data Sheet"
"User Manual","Manuel d'instruction"
"User manuals","Manuels d'instruction"
"certificate","Declaration of Conformity"
"certificate %s %s","Déclaration de Conformité %s %s"
"product_image","Product Image"
"user_manual","User Manual"
"flyer","Flyer"
"mehr Details","show details"
"General instruction for use %s %s","Général instructions d'utilisation %s %s"
"from %s to %s","de %s jusqu'à %s"
"Temperature","Plage de température"
"GENERAL","Général"
"General","Général"
"Normen","Normes"
"Merkmale","Caracteristiques"
"Maße","Dimensions / Poids"
"Größe","Taille"
"Konfigurierbare Attribute","Taille"
"Karabiner","Mousqueton"
"Standards","Normes"
"Features","Caracteristiques"
"Measurements/Weight","Dimensions / Poids"
"Carabiner","Mousqueton"
"Material","Material"
"Size","Taille"
"Components","Composants"
"Buy","Acheter"
"Product details","Détails des Produits"
"Product images","Images des produits"
"Select all files","Choisir tous les fichiers"
"Data sheets","Fiches techniques"
"Conformity declarations","Déclarations de Conformité"
"Download selected files","Télécharger les fichiers sélectionnés"
"Conformity declaration %s %s","Déclarations de Conformité %s %s"
"Miscellaneous","Divers"
"Instruction Manual %s %s","Manuel d'instruction %s %s"
"Industrie","Industry"
"Permanente Absturzsysteme","Système permanente antichute"
"VRC Schulungen","Vertical Rescue College"
"Atemschutz","Protection respiratoire"
"Select a model...","Choississez une variante..."
"Mage_Catalog::Choose an Option...","Choississez une variante..."
"About us","À propos de nous"
"More Information","Informations complémentaires "
"Dependent on availability","Selon disponibilité"
