"Sie wünschen telefonischen Kontakt? Wir rufen Sie an!","You wish contact by telephone? We'll call you!"
"Telefonnummer","Phone"
"Ihre Nachricht an uns","Your message to us"
"Immer auf dem neusten Stand","Always up to date"
"Alle News","All news"
"abschicken","submit"
"Alle Videos","All videos"
"User Manual %s %s","Manuale d´uso %s %s"
"data_list %s %s","Data Sheet %s %s"
"data_list","Data Sheet"
"User Manual","Manuale d´uso"
"certificate","Dichiarazione di conformità"
"certificate %s %s","Dichiarazione di conformità %s %s"
"product_image","Product Image"
"user_manual","User Manual"
"flyer","Flyer"
"mehr Details","show details"
"General instruction for use %s %s","Generale istruzioni per l’uso %s %s"
"from %s to %s","da %s fino a %s"
"Temperature","Temperatura"
"GENERAL","GENERALE"
"General","Generale"
"Normen","Norma"
"Merkmale","Caratteristiche"
"Maße","Dimensioni / Peso"
"Größe","Taglia"
"Konfigurierbare Attribute","Taglia"
"Karabiner","Moschettone"
"Standards","Norma"
"Features","Caratteristiche"
"Measurements/Weight","Dimensioni / Peso"
"Carabiner","Moschettone"
"Material","Material"
"Size","Taglia"
"Components","Componenti"
"Buy","Comprare"
"Product details","Immagini dei prodotti"
"Product images","Images des produits"
"Select all files","Seleziona tutti i dati"
"Data sheets","Foglio dati"
"Conformity declarations","Dichiarazione di conformità"
"Download selected files","Download dei prodotti selezionati"
"Conformity declaration %s %s","Dichiarazione di conformità %s %s"
"Miscellaneous","Altro"
"Instruction Manual %s %s","Manuale d´uso %s %s"
"Dimensions","Dimensioni"
"Industrie","Industria"
"Permanente Absturzsysteme","Sistemi anticaduta permanenti"
"VRC Schulungen","Vertical Rescue College"
"Atemschutz","Protezione delle vie respiratorie"
"Select a model...","Si prega scegliere..."
"Mage_Catalog::Choose an Option...","Si prega scegliere..."
"About us","Chi siamo"
"More Information","Ulteriori informazioni"
"Dependent on availability","In base alla disponibilità"
